"ResourceType","Namespace","Type"
"Microsoft.DevCenter/devcenters/galleries/images","Microsoft.DevCenter","devcenters/galleries/images"
"Microsoft.DevCenter/devcenters/images","Microsoft.DevCenter","devcenters/images"
"Microsoft.DevCenter/networkconnections","Microsoft.DevCenter","networkconnections"
"Microsoft.DevCenter/networkconnections/healthchecks","Microsoft.DevCenter","networkconnections/healthchecks"
"Microsoft.DevCenter/projects","Microsoft.DevCenter","projects"
"Microsoft.DevCenter/projects/attachednetworks","Microsoft.DevCenter","projects/attachednetworks"
"Microsoft.DevCenter/projects/environmentTypes","Microsoft.DevCenter","projects/environmentTypes"
"Microsoft.DevCenter/projects/pools","Microsoft.DevCenter","projects/pools"
"Microsoft.DevCenter/projects/pools/schedules","Microsoft.DevCenter","projects/pools/schedules"
"Microsoft.DevCenter/projects/devboxdefinitions","Microsoft.DevCenter","projects/devboxdefinitions"
"Microsoft.DevCenter/projects/allowedEnvironmentTypes","Microsoft.DevCenter","projects/allowedEnvironmentTypes"
"Microsoft.DevCenter/checkNameAvailability","Microsoft.DevCenter","checkNameAvailability"
"Microsoft.DevCenter/networkconnections/outboundNetworkDependenciesEndpoints","Microsoft.DevCenter","networkconnections/outboundNetworkDependenciesEndpoints"
"Microsoft.DevCenter/Locations/usages","Microsoft.DevCenter","Locations/usages"
"Microsoft.DevCenter/devcenters/catalogs/devboxdefinitions","Microsoft.DevCenter","devcenters/catalogs/devboxdefinitions"
"Microsoft.DevCenter/devcenters/catalogs/environmentDefinitions","Microsoft.DevCenter","devcenters/catalogs/environmentDefinitions"
"Microsoft.DevCenter/devcenters/catalogs/tasks","Microsoft.DevCenter","devcenters/catalogs/tasks"
"Microsoft.DevCenter/checkScopedNameAvailability","Microsoft.DevCenter","checkScopedNameAvailability"
"Microsoft.DevelopmentWindows365/DevelopmentCloudPcDelegatedMsis","Microsoft.DevelopmentWindows365","DevelopmentCloudPcDelegatedMsis"
"Microsoft.DevHub/operations","Microsoft.DevHub","operations"
"Microsoft.DevHub/workflows","Microsoft.DevHub","workflows"
"Microsoft.DevHub/locations","Microsoft.DevHub","locations"
"Microsoft.DevHub/locations/githuboauth","Microsoft.DevHub","locations/githuboauth"
"Microsoft.DevHub/locations/generatePreviewArtifacts","Microsoft.DevHub","locations/generatePreviewArtifacts"
"Microsoft.DeviceRegistry/locations","Microsoft.DeviceRegistry","locations"
"Microsoft.DeviceRegistry/operations","Microsoft.DeviceRegistry","operations"
"Microsoft.DeviceRegistry/operationStatuses","Microsoft.DeviceRegistry","operationStatuses"
"Microsoft.DeviceRegistry/locations/operationStatuses","Microsoft.DeviceRegistry","locations/operationStatuses"
"Microsoft.DeviceRegistry/assets","Microsoft.DeviceRegistry","assets"
"Microsoft.DeviceRegistry/assetEndpointProfiles","Microsoft.DeviceRegistry","assetEndpointProfiles"
"Microsoft.DeviceUpdate/locations","Microsoft.DeviceUpdate","locations"
"Microsoft.DeviceUpdate/locations/operationStatuses","Microsoft.DeviceUpdate","locations/operationStatuses"
"Microsoft.DeviceUpdate/operations","Microsoft.DeviceUpdate","operations"
"Microsoft.DeviceUpdate/accounts","Microsoft.DeviceUpdate","accounts"
"Microsoft.DeviceUpdate/accounts/instances","Microsoft.DeviceUpdate","accounts/instances"
"Microsoft.DeviceUpdate/checkNameAvailability","Microsoft.DeviceUpdate","checkNameAvailability"
"Microsoft.DeviceUpdate/registeredSubscriptions","Microsoft.DeviceUpdate","registeredSubscriptions"
"Microsoft.DeviceUpdate/accounts/privateLinkResources","Microsoft.DeviceUpdate","accounts/privateLinkResources"
"Microsoft.DeviceUpdate/accounts/privateEndpointConnections","Microsoft.DeviceUpdate","accounts/privateEndpointConnections"
"Microsoft.DeviceUpdate/accounts/privateEndpointConnectionProxies","Microsoft.DeviceUpdate","accounts/privateEndpointConnectionProxies"
"Microsoft.DigitalTwins/locations","Microsoft.DigitalTwins","locations"
"Microsoft.DigitalTwins/locations/checkNameAvailability","Microsoft.DigitalTwins","locations/checkNameAvailability"
"Microsoft.DigitalTwins/digitalTwinsInstances","Microsoft.DigitalTwins","digitalTwinsInstances"
"Microsoft.DigitalTwins/digitalTwinsInstances/operationResults","Microsoft.DigitalTwins","digitalTwinsInstances/operationResults"
"Microsoft.DigitalTwins/locations/operationResults","Microsoft.DigitalTwins","locations/operationResults"
"Microsoft.DigitalTwins/locations/operationsStatuses","Microsoft.DigitalTwins","locations/operationsStatuses"
"Microsoft.DigitalTwins/digitalTwinsInstances/endpoints","Microsoft.DigitalTwins","digitalTwinsInstances/endpoints"
"Microsoft.DigitalTwins/digitalTwinsInstances/timeSeriesDatabaseConnections","Microsoft.DigitalTwins","digitalTwinsInstances/timeSeriesDatabaseConnections"
"Microsoft.DigitalTwins/operations","Microsoft.DigitalTwins","operations"
"Microsoft.Easm/workspaces","Microsoft.Easm","workspaces"
"Microsoft.Easm/workspaces/labels","Microsoft.Easm","workspaces/labels"
"Microsoft.Easm/operations","Microsoft.Easm","operations"
"Microsoft.Easm/workspaces/tasks","Microsoft.Easm","workspaces/tasks"
"Microsoft.EdgeManagement/locations","Microsoft.EdgeManagement","locations"
"Microsoft.EdgeManagement/operations","Microsoft.EdgeManagement","operations"
"Microsoft.EdgeMarketplace/operations","Microsoft.EdgeMarketplace","operations"
"Microsoft.EdgeMarketplace/locations","Microsoft.EdgeMarketplace","locations"
"Microsoft.EdgeMarketplace/locations/operationStatuses","Microsoft.EdgeMarketplace","locations/operationStatuses"
"Microsoft.EdgeMarketplace/publishers","Microsoft.EdgeMarketplace","publishers"
"Microsoft.EdgeMarketplace/offers","Microsoft.EdgeMarketplace","offers"
"Microsoft.EdgeOrder/addresses","Microsoft.EdgeOrder","addresses"
"Microsoft.EdgeOrder/orderItems","Microsoft.EdgeOrder","orderItems"
"Microsoft.EdgeOrder/orders","Microsoft.EdgeOrder","orders"
"Microsoft.EdgeOrder/locations","Microsoft.EdgeOrder","locations"
"Microsoft.EdgeOrder/locations/orders","Microsoft.EdgeOrder","locations/orders"
"Microsoft.EdgeOrder/listProductFamilies","Microsoft.EdgeOrder","listProductFamilies"
"Microsoft.EdgeOrder/listConfigurations","Microsoft.EdgeOrder","listConfigurations"
"Microsoft.EdgeOrder/productFamiliesMetadata","Microsoft.EdgeOrder","productFamiliesMetadata"
"Microsoft.EdgeOrder/locations/hciCatalog","Microsoft.EdgeOrder","locations/hciCatalog"
"Microsoft.EdgeOrder/locations/hciCatalog/vendors","Microsoft.EdgeOrder","locations/hciCatalog/vendors"
"Microsoft.EdgeOrder/locations/hciCatalog/platforms","Microsoft.EdgeOrder","locations/hciCatalog/platforms"
"Microsoft.EdgeOrder/locations/hciCatalog/projects","Microsoft.EdgeOrder","locations/hciCatalog/projects"
"Microsoft.EdgeOrder/locations/hciFlightCatalog","Microsoft.EdgeOrder","locations/hciFlightCatalog"
"Microsoft.EdgeOrder/locations/hciFlightCatalog/vendors","Microsoft.EdgeOrder","locations/hciFlightCatalog/vendors"
"Microsoft.EdgeOrder/locations/hciFlightCatalog/platforms","Microsoft.EdgeOrder","locations/hciFlightCatalog/platforms"
"Microsoft.EdgeOrder/locations/hciFlightCatalog/projects","Microsoft.EdgeOrder","locations/hciFlightCatalog/projects"
"Microsoft.EdgeOrder/operations","Microsoft.EdgeOrder","operations"
"Microsoft.EdgeOrder/locations/operationresults","Microsoft.EdgeOrder","locations/operationresults"
"Microsoft.EdgeOrderPartner/operations","Microsoft.EdgeOrderPartner","operations"
"Microsoft.Elastic/operations","Microsoft.Elastic","operations"
"Microsoft.Elastic/locations","Microsoft.Elastic","locations"
"Microsoft.Elastic/locations/operationStatuses","Microsoft.Elastic","locations/operationStatuses"
"Microsoft.Elastic/monitors","Microsoft.Elastic","monitors"
"Microsoft.Elastic/monitors/tagRules","Microsoft.Elastic","monitors/tagRules"
"Microsoft.Elastic/checkNameAvailability","Microsoft.Elastic","checkNameAvailability"
"Microsoft.Elastic/elasticVersions","Microsoft.Elastic","elasticVersions"
"Microsoft.Elastic/getOrganizationApiKey","Microsoft.Elastic","getOrganizationApiKey"
"Microsoft.Elastic/getElasticOrganizationToAzureSubscriptionMapping","Microsoft.Elastic","getElasticOrganizationToAzureSubscriptionMapping"
"Microsoft.ElasticSan/elasticSans","Microsoft.ElasticSan","elasticSans"
"Microsoft.ElasticSan/elasticSans/volumeGroups","Microsoft.ElasticSan","elasticSans/volumeGroups"
"Microsoft.ElasticSan/operations","Microsoft.ElasticSan","operations"
"Microsoft.ElasticSan/locations/asyncoperations","Microsoft.ElasticSan","locations/asyncoperations"
"Microsoft.ElasticSan/locations","Microsoft.ElasticSan","locations"
"Microsoft.EnterpriseSupport/EnterpriseSupports","Microsoft.EnterpriseSupport","EnterpriseSupports"
"Microsoft.EnterpriseSupport/operationStatuses","Microsoft.EnterpriseSupport","operationStatuses"
"Microsoft.EnterpriseSupport/validate","Microsoft.EnterpriseSupport","validate"
"Microsoft.EnterpriseSupport/Operations","Microsoft.EnterpriseSupport","Operations"
"Microsoft.EntitlementManagement/Operations","Microsoft.EntitlementManagement","Operations"
"Microsoft.Experimentation/Operations","Microsoft.Experimentation","Operations"
"Microsoft.ExtendedLocation/locations","Microsoft.ExtendedLocation","locations"
"Microsoft.ExtendedLocation/customLocations","Microsoft.ExtendedLocation","customLocations"
"Microsoft.ExtendedLocation/customLocations/enabledResourceTypes","Microsoft.ExtendedLocation","customLocations/enabledResourceTypes"
"Microsoft.ExtendedLocation/customLocations/resourceSyncRules","Microsoft.ExtendedLocation","customLocations/resourceSyncRules"
"Microsoft.ExtendedLocation/locations/operationsstatus","Microsoft.ExtendedLocation","locations/operationsstatus"
"Microsoft.ExtendedLocation/locations/operationresults","Microsoft.ExtendedLocation","locations/operationresults"
"Microsoft.ExtendedLocation/operations","Microsoft.ExtendedLocation","operations"
"Microsoft.Fabric/capacities","Microsoft.Fabric","capacities"
"Microsoft.Fabric/locations","Microsoft.Fabric","locations"
"Microsoft.Fabric/locations/checkNameAvailability","Microsoft.Fabric","locations/checkNameAvailability"
"Microsoft.Fabric/locations/operationresults","Microsoft.Fabric","locations/operationresults"
"Microsoft.Fabric/locations/operationstatuses","Microsoft.Fabric","locations/operationstatuses"
"Microsoft.Fabric/operations","Microsoft.Fabric","operations"
"Microsoft.Falcon/namespaces","Microsoft.Falcon","namespaces"
"Microsoft.Features/features","Microsoft.Features","features"
"Microsoft.Features/providers","Microsoft.Features","providers"
"Microsoft.Features/featureProviders","Microsoft.Features","featureProviders"
"Microsoft.Features/subscriptionFeatureRegistrations","Microsoft.Features","subscriptionFeatureRegistrations"
"Microsoft.Features/featureProviderNamespaces","Microsoft.Features","featureProviderNamespaces"
"Microsoft.Features/featureConfigurations","Microsoft.Features","featureConfigurations"
"Microsoft.Features/operations","Microsoft.Features","operations"
"Microsoft.FluidRelay/fluidRelayServers","Microsoft.FluidRelay","fluidRelayServers"
"Microsoft.FluidRelay/Operations","Microsoft.FluidRelay","Operations"
"Microsoft.FluidRelay/fluidRelayServers/fluidRelayContainers","Microsoft.FluidRelay","fluidRelayServers/fluidRelayContainers"
"Microsoft.FluidRelay/Locations","Microsoft.FluidRelay","Locations"
"Microsoft.FluidRelay/Locations/OperationStatuses","Microsoft.FluidRelay","Locations/OperationStatuses"
"Microsoft.GraphServices/accounts","Microsoft.GraphServices","accounts"
"Microsoft.GraphServices/Operations","Microsoft.GraphServices","Operations"
"Microsoft.GraphServices/RegisteredSubscriptions","Microsoft.GraphServices","RegisteredSubscriptions"
"Microsoft.GraphServices/Locations","Microsoft.GraphServices","Locations"
"Microsoft.GraphServices/Locations/OperationStatuses","Microsoft.GraphServices","Locations/OperationStatuses"
"Microsoft.HanaOnAzure/hanaInstances","Microsoft.HanaOnAzure","hanaInstances"
"Microsoft.HanaOnAzure/locations/operationsStatus","Microsoft.HanaOnAzure","locations/operationsStatus"
"Microsoft.HanaOnAzure/locations","Microsoft.HanaOnAzure","locations"
"Microsoft.HanaOnAzure/locations/operations","Microsoft.HanaOnAzure","locations/operations"
"Microsoft.HanaOnAzure/operations","Microsoft.HanaOnAzure","operations"
"Microsoft.HardwareSecurityModules/cloudHsmClusters","Microsoft.HardwareSecurityModules","cloudHsmClusters"
"Microsoft.HardwareSecurityModules/locations","Microsoft.HardwareSecurityModules","locations"
"Microsoft.HardwareSecurityModules/operations","Microsoft.HardwareSecurityModules","operations"
"Microsoft.HealthBot/Operations","Microsoft.HealthBot","Operations"
"Microsoft.HealthBot/Locations","Microsoft.HealthBot","Locations"
"Microsoft.HealthBot/Locations/OperationStatuses","Microsoft.HealthBot","Locations/OperationStatuses"
"Microsoft.HealthBot/healthBots","Microsoft.HealthBot","healthBots"
"Microsoft.HealthDataAIServices/locations","Microsoft.HealthDataAIServices","locations"
"Microsoft.HealthDataAIServices/locations/operationStatuses","Microsoft.HealthDataAIServices","locations/operationStatuses"
"Microsoft.HealthDataAIServices/Operations","Microsoft.HealthDataAIServices","Operations"
"Microsoft.HealthModel/Operations","Microsoft.HealthModel","Operations"
"Microsoft.Help/operations","Microsoft.Help","operations"
"Microsoft.Help/operationResults","Microsoft.Help","operationResults"
"Microsoft.Help/discoverySolutions","Microsoft.Help","discoverySolutions"
"Microsoft.Help/discoverSolutions","Microsoft.Help","discoverSolutions"
"Microsoft.Help/diagnostics","Microsoft.Help","diagnostics"
"Microsoft.Help/checkNameAvailability","Microsoft.Help","checkNameAvailability"
"Microsoft.Help/solutions","Microsoft.Help","solutions"
"Microsoft.Help/simplifiedSolutions","Microsoft.Help","simplifiedSolutions"
"Microsoft.Help/troubleshooters","Microsoft.Help","troubleshooters"
"Microsoft.Help/SelfHelp","Microsoft.Help","SelfHelp"
"Microsoft.HybridCloud/cloudConnectors","Microsoft.HybridCloud","cloudConnectors"
"Microsoft.HybridCloud/cloudConnections","Microsoft.HybridCloud","cloudConnections"
"Microsoft.HybridContainerService/Locations","Microsoft.HybridContainerService","Locations"
"Microsoft.HybridContainerService/Locations/operationStatuses","Microsoft.HybridContainerService","Locations/operationStatuses"
"Microsoft.HybridContainerService/provisionedClusters","Microsoft.HybridContainerService","provisionedClusters"
"Microsoft.HybridContainerService/provisionedClusters/hybridIdentityMetadata","Microsoft.HybridContainerService","provisionedClusters/hybridIdentityMetadata"
"Microsoft.HybridContainerService/provisionedClusters/agentPools","Microsoft.HybridContainerService","provisionedClusters/agentPools"
"Microsoft.HybridContainerService/virtualNetworks","Microsoft.HybridContainerService","virtualNetworks"
"Microsoft.HybridContainerService/Operations","Microsoft.HybridContainerService","Operations"
"Microsoft.HybridContainerService/provisionedClusters/upgradeProfiles","Microsoft.HybridContainerService","provisionedClusters/upgradeProfiles"
"Microsoft.HybridContainerService/kubernetesVersions","Microsoft.HybridContainerService","kubernetesVersions"
"Microsoft.HybridContainerService/skus","Microsoft.HybridContainerService","skus"
"Microsoft.HybridContainerService/provisionedClusterInstances","Microsoft.HybridContainerService","provisionedClusterInstances"
"Microsoft.HybridNetwork/Operations","Microsoft.HybridNetwork","Operations"
"Microsoft.HybridNetwork/Locations","Microsoft.HybridNetwork","Locations"
"Microsoft.HybridNetwork/Locations/OperationStatuses","Microsoft.HybridNetwork","Locations/OperationStatuses"
"Microsoft.HybridNetwork/devices","Microsoft.HybridNetwork","devices"
"Microsoft.HybridNetwork/networkfunctions","Microsoft.HybridNetwork","networkfunctions"
"Microsoft.HybridNetwork/networkFunctionVendors","Microsoft.HybridNetwork","networkFunctionVendors"
"Microsoft.HybridNetwork/networkFunctions/components","Microsoft.HybridNetwork","networkFunctions/components"
"Microsoft.HybridNetwork/sites","Microsoft.HybridNetwork","sites"
"Microsoft.HybridNetwork/siteNetworkServices","Microsoft.HybridNetwork","siteNetworkServices"
"Microsoft.HybridNetwork/configurationGroupValues","Microsoft.HybridNetwork","configurationGroupValues"
"Microsoft.HybridNetwork/publishers","Microsoft.HybridNetwork","publishers"
"Microsoft.HybridNetwork/publishers/networkFunctionDefinitionGroups","Microsoft.HybridNetwork","publishers/networkFunctionDefinitionGroups"
"Microsoft.HybridNetwork/publishers/networkFunctionDefinitionGroups/networkFunctionDefinitionVersions","Microsoft.HybridNetwork","publishers/networkFunctionDefinitionGroups/networkFunctionDefinitionVersions"
"Microsoft.HybridNetwork/publishers/artifactStores","Microsoft.HybridNetwork","publishers/artifactStores"
"Microsoft.HybridNetwork/publishers/artifactStores/artifactManifests","Microsoft.HybridNetwork","publishers/artifactStores/artifactManifests"
"Microsoft.HybridNetwork/publishers/artifactstores/artifacts","Microsoft.HybridNetwork","publishers/artifactstores/artifacts"
"Microsoft.HybridNetwork/publishers/artifactstores/artifactversions","Microsoft.HybridNetwork","publishers/artifactstores/artifactversions"
"Microsoft.Impact/Operations","Microsoft.Impact","Operations"
"Microsoft.IntegrationSpaces/Spaces","Microsoft.IntegrationSpaces","Spaces"
"Microsoft.IntegrationSpaces/Spaces/InfrastructureResources","Microsoft.IntegrationSpaces","Spaces/InfrastructureResources"
"Microsoft.IntegrationSpaces/Spaces/Applications","Microsoft.IntegrationSpaces","Spaces/Applications"
"Microsoft.IntegrationSpaces/Spaces/applications/resources","Microsoft.IntegrationSpaces","Spaces/applications/resources"
"Microsoft.IntegrationSpaces/Spaces/applications/BusinessProcesses","Microsoft.IntegrationSpaces","Spaces/applications/BusinessProcesses"
"Microsoft.IntegrationSpaces/Spaces/applications/BusinessProcesses/versions","Microsoft.IntegrationSpaces","Spaces/applications/BusinessProcesses/versions"
"Microsoft.IntegrationSpaces/locations","Microsoft.IntegrationSpaces","locations"
"Microsoft.IntegrationSpaces/locations/OperationStatuses","Microsoft.IntegrationSpaces","locations/OperationStatuses"
"Microsoft.IntegrationSpaces/operations","Microsoft.IntegrationSpaces","operations"
"Microsoft.IoTCentral/IoTApps","Microsoft.IoTCentral","IoTApps"
"Microsoft.IoTCentral/checkNameAvailability","Microsoft.IoTCentral","checkNameAvailability"
"Microsoft.IoTCentral/checkSubdomainAvailability","Microsoft.IoTCentral","checkSubdomainAvailability"
"Microsoft.IoTCentral/operations","Microsoft.IoTCentral","operations"
"Microsoft.IoTCentral/locations","Microsoft.IoTCentral","locations"
"Microsoft.IoTCentral/locations/operationResults","Microsoft.IoTCentral","locations/operationResults"
"Microsoft.IoTCentral/appTemplates","Microsoft.IoTCentral","appTemplates"
"Microsoft.IoTFirmwareDefense/operations","Microsoft.IoTFirmwareDefense","operations"
"Microsoft.IoTFirmwareDefense/workspaces","Microsoft.IoTFirmwareDefense","workspaces"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares","Microsoft.IoTFirmwareDefense","workspaces/firmwares"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/sbomComponents","Microsoft.IoTFirmwareDefense","workspaces/firmwares/sbomComponents"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/binaryHardeningResults","Microsoft.IoTFirmwareDefense","workspaces/firmwares/binaryHardeningResults"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/cryptoCertificates","Microsoft.IoTFirmwareDefense","workspaces/firmwares/cryptoCertificates"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/cryptoKeys","Microsoft.IoTFirmwareDefense","workspaces/firmwares/cryptoKeys"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/passwordHashes","Microsoft.IoTFirmwareDefense","workspaces/firmwares/passwordHashes"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/cves","Microsoft.IoTFirmwareDefense","workspaces/firmwares/cves"
"Microsoft.IoTFirmwareDefense/workspaces/firmwares/summaries","Microsoft.IoTFirmwareDefense","workspaces/firmwares/summaries"
"Microsoft.IoTFirmwareDefense/locations","Microsoft.IoTFirmwareDefense","locations"
"Microsoft.IoTFirmwareDefense/locations/operationStatuses","Microsoft.IoTFirmwareDefense","locations/operationStatuses"
"Microsoft.IoTOperationsDataProcessor/locations","Microsoft.IoTOperationsDataProcessor","locations"
"Microsoft.IoTOperationsDataProcessor/locations/operationStatuses","Microsoft.IoTOperationsDataProcessor","locations/operationStatuses"
"Microsoft.IoTOperationsDataProcessor/instances","Microsoft.IoTOperationsDataProcessor","instances"
"Microsoft.IoTOperationsDataProcessor/instances/datasets","Microsoft.IoTOperationsDataProcessor","instances/datasets"
"Microsoft.IoTOperationsDataProcessor/instances/pipelines","Microsoft.IoTOperationsDataProcessor","instances/pipelines"
"Microsoft.IoTOperationsDataProcessor/operations","Microsoft.IoTOperationsDataProcessor","operations"
"Microsoft.IoTOperationsMQ/Locations","Microsoft.IoTOperationsMQ","Locations"
"Microsoft.IoTOperationsMQ/Operations","Microsoft.IoTOperationsMQ","Operations"
"Microsoft.IoTOperationsMQ/Locations/OperationStatuses","Microsoft.IoTOperationsMQ","Locations/OperationStatuses"
"Microsoft.IoTOperationsMQ/mq","Microsoft.IoTOperationsMQ","mq"
"Microsoft.IoTOperationsMQ/mq/broker","Microsoft.IoTOperationsMQ","mq/broker"
"Microsoft.IoTOperationsMQ/mq/broker/authentication","Microsoft.IoTOperationsMQ","mq/broker/authentication"
"Microsoft.IoTOperationsMQ/mq/broker/authorization","Microsoft.IoTOperationsMQ","mq/broker/authorization"
"Microsoft.IoTOperationsMQ/mq/broker/listener","Microsoft.IoTOperationsMQ","mq/broker/listener"
"Microsoft.IoTOperationsMQ/mq/dataLakeConnector","Microsoft.IoTOperationsMQ","mq/dataLakeConnector"
"Microsoft.IoTOperationsMQ/mq/dataLakeConnector/topicMap","Microsoft.IoTOperationsMQ","mq/dataLakeConnector/topicMap"
"Microsoft.IoTOperationsMQ/mq/diagnosticService","Microsoft.IoTOperationsMQ","mq/diagnosticService"
"Microsoft.IoTOperationsMQ/mq/kafkaConnector","Microsoft.IoTOperationsMQ","mq/kafkaConnector"
"Microsoft.IoTOperationsMQ/mq/kafkaConnector/topicMap","Microsoft.IoTOperationsMQ","mq/kafkaConnector/topicMap"
"Microsoft.IoTOperationsMQ/mq/mqttBridgeConnector","Microsoft.IoTOperationsMQ","mq/mqttBridgeConnector"
"Microsoft.IoTOperationsMQ/mq/mqttBridgeConnector/topicMap","Microsoft.IoTOperationsMQ","mq/mqttBridgeConnector/topicMap"
"Microsoft.IoTOperationsOrchestrator/locations","Microsoft.IoTOperationsOrchestrator","locations"
"Microsoft.IoTOperationsOrchestrator/locations/operationStatuses","Microsoft.IoTOperationsOrchestrator","locations/operationStatuses"
"Microsoft.IoTOperationsOrchestrator/targets","Microsoft.IoTOperationsOrchestrator","targets"
"Microsoft.IoTOperationsOrchestrator/solutions","Microsoft.IoTOperationsOrchestrator","solutions"
"Microsoft.IoTOperationsOrchestrator/instances","Microsoft.IoTOperationsOrchestrator","instances"
"Microsoft.IoTOperationsOrchestrator/operations","Microsoft.IoTOperationsOrchestrator","operations"
"Microsoft.IoTSecurity/Operations","Microsoft.IoTSecurity","Operations"
"Microsoft.IoTSecurity/defenderSettings","Microsoft.IoTSecurity","defenderSettings"
"Microsoft.IoTSecurity/locations","Microsoft.IoTSecurity","locations"
"Microsoft.IoTSecurity/locations/deviceGroups","Microsoft.IoTSecurity","locations/deviceGroups"
"Microsoft.IoTSecurity/locations/deviceGroups/devices","Microsoft.IoTSecurity","locations/deviceGroups/devices"
"Microsoft.IoTSecurity/locations/endpoints","Microsoft.IoTSecurity","locations/endpoints"
"Microsoft.IoTSecurity/locations/deviceGroups/vulnerabilities","Microsoft.IoTSecurity","locations/deviceGroups/vulnerabilities"
"Microsoft.IoTSecurity/locations/deviceGroups/alerts","Microsoft.IoTSecurity","locations/deviceGroups/alerts"
"Microsoft.IoTSecurity/locations/deviceGroups/alerts/pcaps","Microsoft.IoTSecurity","locations/deviceGroups/alerts/pcaps"
"Microsoft.IoTSecurity/locations/deviceGroups/alerts/learn","Microsoft.IoTSecurity","locations/deviceGroups/alerts/learn"
"Microsoft.IoTSecurity/locations/deviceGroups/recommendations","Microsoft.IoTSecurity","locations/deviceGroups/recommendations"
"Microsoft.IoTSecurity/locations/sites","Microsoft.IoTSecurity","locations/sites"
"Microsoft.IoTSecurity/locations/sites/sensors","Microsoft.IoTSecurity","locations/sites/sensors"
"Microsoft.IoTSecurity/sites","Microsoft.IoTSecurity","sites"
"Microsoft.IoTSecurity/sensors","Microsoft.IoTSecurity","sensors"
"Microsoft.IoTSecurity/onPremiseSensors","Microsoft.IoTSecurity","onPremiseSensors"
"Microsoft.IoTSecurity/alertTypes","Microsoft.IoTSecurity","alertTypes"
"Microsoft.IoTSecurity/recommendationTypes","Microsoft.IoTSecurity","recommendationTypes"
"Microsoft.IoTSecurity/licenseSkus","Microsoft.IoTSecurity","licenseSkus"
"Microsoft.Kubernetes/connectedClusters","Microsoft.Kubernetes","connectedClusters"
"Microsoft.Kubernetes/locations","Microsoft.Kubernetes","locations"
"Microsoft.Kubernetes/locations/operationStatuses","Microsoft.Kubernetes","locations/operationStatuses"
"Microsoft.Kubernetes/registeredSubscriptions","Microsoft.Kubernetes","registeredSubscriptions"
"Microsoft.Kubernetes/Operations","Microsoft.Kubernetes","Operations"
"Microsoft.KubernetesRuntime/storageClasses","Microsoft.KubernetesRuntime","storageClasses"
"Microsoft.KubernetesRuntime/loadBalancers","Microsoft.KubernetesRuntime","loadBalancers"
"Microsoft.KubernetesRuntime/bgpPeers","Microsoft.KubernetesRuntime","bgpPeers"
"Microsoft.KubernetesRuntime/operations","Microsoft.KubernetesRuntime","operations"
"Microsoft.KubernetesRuntime/locations","Microsoft.KubernetesRuntime","locations"
"Microsoft.KubernetesRuntime/locations/operationStatuses","Microsoft.KubernetesRuntime","locations/operationStatuses"
"Microsoft.KubernetesRuntime/services","Microsoft.KubernetesRuntime","services"
"Microsoft.Logz/operations","Microsoft.Logz","operations"
"Microsoft.Logz/locations","Microsoft.Logz","locations"
"Microsoft.Logz/registeredSubscriptions","Microsoft.Logz","registeredSubscriptions"
"Microsoft.Logz/locations/operationStatuses","Microsoft.Logz","locations/operationStatuses"
"Microsoft.Logz/monitors","Microsoft.Logz","monitors"
"Microsoft.Logz/monitors/tagRules","Microsoft.Logz","monitors/tagRules"
"Microsoft.Logz/monitors/singleSignOnConfigurations","Microsoft.Logz","monitors/singleSignOnConfigurations"
"Microsoft.Logz/monitors/accounts","Microsoft.Logz","monitors/accounts"
"Microsoft.Logz/monitors/accounts/tagRules","Microsoft.Logz","monitors/accounts/tagRules"
"Microsoft.MachineLearning/Workspaces","Microsoft.MachineLearning","Workspaces"
"Microsoft.MachineLearning/webServices","Microsoft.MachineLearning","webServices"
"Microsoft.MachineLearning/operations","Microsoft.MachineLearning","operations"
"Microsoft.MachineLearning/locations","Microsoft.MachineLearning","locations"
"Microsoft.MachineLearning/locations/operations","Microsoft.MachineLearning","locations/operations"
"Microsoft.MachineLearning/locations/operationsStatus","Microsoft.MachineLearning","locations/operationsStatus"
"Microsoft.MachineLearning/commitmentPlans","Microsoft.MachineLearning","commitmentPlans"
"Microsoft.ManagedNetworkFabric/Operations","Microsoft.ManagedNetworkFabric","Operations"
"Microsoft.ManagedNetworkFabric/NetworkFabricControllers","Microsoft.ManagedNetworkFabric","NetworkFabricControllers"
"Microsoft.ManagedNetworkFabric/Locations","Microsoft.ManagedNetworkFabric","Locations"
"Microsoft.ManagedNetworkFabric/Locations/OperationStatuses","Microsoft.ManagedNetworkFabric","Locations/OperationStatuses"
"Microsoft.ManagedNetworkFabric/NetworkFabrics","Microsoft.ManagedNetworkFabric","NetworkFabrics"
"Microsoft.ManagedNetworkFabric/NetworkRacks","Microsoft.ManagedNetworkFabric","NetworkRacks"
"Microsoft.ManagedNetworkFabric/NetworkDevices","Microsoft.ManagedNetworkFabric","NetworkDevices"
"Microsoft.ManagedNetworkFabric/NetworkDevices/NetworkInterfaces","Microsoft.ManagedNetworkFabric","NetworkDevices/NetworkInterfaces"
